	en	fr	es
navbar_tools	Tools	Outils	Herramientas
navbar_about	About	A propos	Sobre nosotros
navbar_tuto	Tutorial	Tutoriel	Tutorial
navbar_twitter_sna	Twitter SNA.	Twitter SNA.	Twitter SNA.
navbar_classroom	Classroom	Salle de cours	Aula
navbar_quiz	Interactive	Interactif	Interactivo
navbar_analysis	Analysis	Analyse	AnÃ¡lisis
navbar_keyframes	Keyframes	Images clÃ©s	ImÃ¡genes claves
navbar_thumbnails	Thumbnails	Imagettes	Miniaturas
navbar_twitter	Tw. search	Recherche Tw.	BÃºsqueda Tw.
navbar_magnifier	Magnifier	Loupe	Lupa
navbar_metadata	Metadata	MetadonnÃ©es	Metadatos
navbar_rights	Video rights	Droits vidÃ©o	Derechos video
navbar_forensic	Forensic	Forensic	Forensic
navbar_factCheck	Fact Check	Factuel	Factual
navbar_fakeDetection	Fake detection	Détection de faux	Detección falsa
navbar_fakeDetectionTraining	Fake detection training	Entraînement détection de faux	"
Entrenamiento de detección falsa"
navbar_extraction	Extraction	Extraction	Extracción
